RowID,MeanIndProduction,VarIndProduction,ResInflow,MaxGrowthRate,MaxMetMaint,MaxActiveDispersal,LogseriesA,StartingSeed,width,height,MeanTotalAbundance,VarTotalAbundance,ImmigrationRate,MeanResourceConcentration,VarResourceConcentration,MeanResourceParticles,VarResourceParticles,Speciation,MeanPerCapitaGrowth,VarPerCapitaGrowth,MeanPerCapitaMaint,VarPerCapitaMaint,MeanPerCapitaActiveDispersal,VarPerCapitaActiveDispersal,MeanSpecGrowth,VarSpecGrowth,MeanSpecDisp,VarSpecDisp,MeanSpecMaint,VarSpecMaint,MeanAvgDist,VarAvgDist,MeanDormFreq,VarDormFreq,TrophicComplexityLevel,ResourceComplexityLevel,SpatialComplexityLevel,MeanEncounter,VarEncounter,IncomingResAgg,MeanIndAgg,VarIndAgg,MeanResAgg,VarResAgg
1, 3.0, 0.0, 15, 0.2, 0.004, 0.01, 0.99, 10, 19.8, 20, 41.719999999999999, 940.48159999999984, 0.0, 0.41999999999999998, 0.0, 168.0, 0.0, 0.0, 0.19999044069366698, 0.0, 0.00029309225456813329, 0.0, 0.010002354563340239, 0.0, 0.20000000000000001, 0.0, 0.0099999999999999985, 0.0, 0.004000000000000001, 0.0, 6.4492201840823657, 0.0, 0.37254901960784315, 0.0, 1, 1, 2, 11.0, 0.0, 0.7541301946333796, 29.974762182100562, 0.0, 2.5092671799258626, 0.0
2, 3.0, 0.0, 17, 0.2, 0.004, 0.001, 0.99, 10, 19.8, 20, 41.759999999999998, 631.58240000000001, 0.0, 0.46000000000000002, 0.0, 184.0, 0.0, 0.0, 0.20001086610634231, 0.0, 0.0003220608210210962, 0.0, 0.00099997082120168259, 0.0, 0.20000000000000001, 0.0, 0.001, 0.0, 0.0040000000000000001, 0.0, 4.7386799028934536, 0.0, 0.20408163265306123, 0.0, 1, 1, 1, 5.0, 0.0, 0.1825090629356344, 1.4306753629286766, 0.0, 1.1166547873604182, 0.0
3, 1.0, 0.0, 13, 0.2, 0.004, 0.001, 0.99, 10, 19.8, 20, 13.43, 20.065100000000001, 0.0, 0.3125, 0.0, 125.0, 0.0, 0.0, 0.19999547937438966, 0.0, 0.00019998313376968366, 0.0, 0.0010000920826970423, 0.0, 0.20000000000000001, 0.0, 0.001, 0.0, 0.0040000000000000001, 0.0, 10.211477488437801, 0.0, 0.45833333333333331, 0.0, 1, 1, 2, 2.0, 0.0, 0.40761698025786686, 36.231884057971016, 0.0, 2.2709677419354839, 0.0
4, 1.0, 0.0, 17, 0.2, 0.004, 0.1, 0.99, 10, 19.8, 20, 73.120000000000005, 3723.8856000000001, 0.0, 0.38, 0.0, 152.0, 0.0, 0.0, 0.1999955896881524, 0.0, 0.00022579165529339751, 0.0, 0.099999459393175699, 0.0, 0.19999999999999998, 0.0, 0.099999999999999992, 0.0, 0.0040000000000000001, 0.0, 7.9945558980889597, 0.0, 0.47236180904522612, 0.0, 1, 1, 2, 10.0, 0.0, 0.6920348339955517, 10.375107862545049, 0.0, 1.4290693621470896, 0.0
5, 0.0, 0.0, 13, 0.2, 0.004, 0.001, 0.99, 10, 19.8, 20, 84.379999999999995, 2428.2755999999999, 0.0, 0.32000000000000001, 0.0, 128.0, 0.0, 0.0, 0.20000678094351007, 0.0, 0.00019212951305376742, 0.0, 0.00099994783036869064, 0.0, 0.19999999999999998, 0.0, 0.001, 0.0, 0.0040000000000000001, 0.0, 4.4722003149236835, 0.0, 0.66863905325443784, 0.0, 1, 1, 3, 1.0, 0.0, 0.5333664729040191, 36.630036630036628, 0.0, 1.9192913385826771, 0.0
6, 1.0, 0.0, 19, 0.2, 0.004, 0.01, 0.99, 10, 19.8, 20, 51.57, 1849.0651, 0.0, 0.4325, 0.0, 173.0, 0.0, 0.0, 0.20000550094737385, 0.0, 0.0002799587702069353, 0.0, 0.010000122436469971, 0.0, 0.20000000000000001, 0.0, 0.01, 0.0, 0.0040000000000000001, 0.0, 5.1990056772019795, 0.0, 0.55639097744360899, 0.0, 1, 1, 3, 5.0, 0.0, 0.7592669704415635, 34.221918432444745, 0.0, 1.9626293856701169, 0.0
7, 2.0, 0.0, 10, 0.2, 0.004, 0.1, 0.99, 10, 19.8, 20, 25.710000000000001, 208.14590000000001, 0.0, 0.26000000000000001, 0.0, 104.0, 0.0, 0.0, 0.19996360843762237, 0.0, 0.00024038666497204611, 0.0, 0.10001598448372849, 0.0, 0.19999999999999998, 0.0, 0.099999999999999992, 0.0, 0.0040000000000000001, 0.0, 3.1776647781694245, 0.0, 0.19672131147540983, 0.0, 1, 1, 1, 5.0, 0.0, 0.3028914306504823, 2.1857923497267762, 0.0, 1.1949215832710978, 0.0
8, 4.0, 0.0, 9, 0.2, 0.004, 0.1, 0.99, 10, 19.8, 20, 34.920000000000002, 622.53359999999986, 0.0, 0.20999999999999999, 0.0, 84.0, 0.0, 0.0, 0.20002110071076928, 0.0, 0.00026575004038409313, 0.0, 0.10000612650813732, 0.0, 0.20000000000000001, 0.0, 0.10000000000000001, 0.0, 0.0040000000000000001, 0.0, 2.5518659375270145, 0.0, 0.22772277227722773, 0.0, 1, 1, 1, 18.0, 0.0, 0.4966620325321443, 1.4257425742574257, 0.0, 1.2621916236374067, 0.0
9, 1.0, 0.0, 16, 0.2, 0.004, 0.1, 0.99, 10, 19.8, 20, 81.810000000000002, 3481.0739000000003, 0.0, 0.38, 0.0, 152.0, 0.0, 0.0, 0.19999455097431329, 0.0, 0.00019808887847018461, 0.0, 0.099997248471562272, 0.0, 0.20000000000000001, 0.0, 0.10000000000000001, 0.0, 0.0040000000000000001, 0.0, 4.0503796979973066, 0.0, 0.17326732673267325, 0.0, 1, 1, 1, 22.0, 0.0, 0.3573146044834933, 1.5762770306881435, 0.0, 0.9062391077030324, 0.0
10, 0.0, 0.0, 1, 0.2, 0.004, 0.1, 0.99, 10, 19.8, 20, 8.2100000000000009, 1.3259000000000001, 0.0, 0.02, 0.0, 8.0, 0.0, 0.0, 0.20000525405318498, 0.0, 0.00019998923980579531, 0.0, 0.099909192313056464, 0.0, 0.20000000000000001, 0.0, 0.10000000000000001, 0.0, 0.0040000000000000001, 0.0, 2.2401349344152917, 0.0, 0.7142857142857143, 0.0, 1, 1, 2, 0.0, 0.0, 0.37559873313605247, 0.0, 0.0, 0.0, 0.0
11, 0.0, 0.0, 1, 0.2, 0.004, 0.01, 0.99, 10, 19.8, 20, 14.880000000000001, 15.865600000000004, 0.0, 0.029999999999999999, 0.0, 12.0, 0.0, 0.0, 0.2000528534021554, 0.0, 0.0001999965202567943, 0.0, 0.009999487608495566, 0.0, 0.20000000000000001, 0.0, 0.01, 0.0, 0.0040000000000000001, 0.0, 3.8557841138693183, 0.0, 0.86363636363636365, 0.0, 1, 1, 3, 1.0, 0.0, 0.5852826472545004, 13.852813852813853, 0.0, 0.0, 0.0
12, 0.0, 0.0, 1, 0.2, 0.004, 0.1, 0.99, 10, 19.8, 20, 14.42, 2.6836000000000002, 0.0, 0.025000000000000001, 0.0, 10.0, 0.0, 0.0, 0.19996353141140416, 0.0, 0.00018544087823925529, 0.0, 0.099997445158384213, 0.0, 0.20000000000000001, 0.0, 0.10000000000000001, 0.0, 0.0040000000000000001, 0.0, 3.509133123756448, 0.0, 0.92307692307692313, 0.0, 1, 1, 3, 0.0, 0.0, 0.3020613461332205, 10.256410256410257, 0.0, 8.8888888888888893, 0.0
13, 5.0, 0.0, 20, 0.2, 0.004, 0.001, 0.99, 10, 19.8, 20, 48.920000000000002, 1624.8735999999999, 0.0, 0.48999999999999999, 0.0, 196.0, 0.0, 0.0, 0.20000754228465881, 0.0, 0.00035386013909890243, 0.0, 0.0009999585329061051, 0.0, 0.19999999999999998, 0.0, 0.001, 0.0, 0.0040000000000000001, 0.0, 4.2734431600095375, 0.0, 0.18354430379746836, 0.0, 1, 1, 1, 23.0, 0.0, 0.7052978083605217, 1.2900104813351609, 0.0, 1.0047095761381475, 0.0
14, 2.0, 0.0, 16, 0.2, 0.004, 0.1, 0.99, 10, 19.8, 20, 80.590000000000003, 4020.3818999999999, 0.0, 0.36499999999999999, 0.0, 146.0, 0.0, 0.0, 0.20000104447783384, 0.0, 0.00020820246302851654, 0.0, 0.10000984969553747, 0.0, 0.20000000000000001, 0.0, 0.10000000000000001, 0.0, 0.0040000000000000001, 0.0, 4.0660860644419046, 0.0, 0.39423076923076922, 0.0, 1, 1, 3, 19.0, 0.0, 0.7306498450069862, 3.3073206986250465, 0.0, 1.8516769012753898, 0.0
15, 0.0, 0.0, 4, 0.2, 0.004, 0.1, 0.99, 10, 19.8, 20, 20.48, 44.369600000000013, 0.0, 0.082500000000000004, 0.0, 33.0, 0.0, 0.0, 0.19999175210710518, 0.0, 0.00019245980821136366, 0.0, 0.099981556008092595, 0.0, 0.19999999999999998, 0.0, 0.099999999999999992, 0.0, 0.0040000000000000001, 0.0, 2.045625339431131, 0.0, 0.92000000000000004, 0.0, 1, 1, 2, 0.0, 0.0, 0.3742354455008618, 42.666666666666664, 0.0, 1.5151515151515151, 0.0
16, 0.0, 0.0, 4, 0.2, 0.004, 0.01, 0.99, 10, 19.8, 20, 9.8699999999999992, 5.8331000000000008, 0.0, 0.10000000000000001, 0.0, 40.0, 0.0, 0.0, 0.19996006020611851, 0.0, 0.0002000039054239566, 0.0, 0.010005458130196784, 0.0, 0.20000000000000001, 0.0, 0.01, 0.0, 0.0040000000000000001, 0.0, 4.7827640713968176, 0.0, 0.8125, 0.0, 1, 1, 3, 0.0, 0.0, 0.655677665798724, 76.666666666666671, 0.0, 1.5384615384615385, 0.0
