RowID,IndProduction,ResInflow,MaxResVal,MaxGrowthRate,MaxMetMaint,MaxActiveDispersal,LogseriesA,StartingSeed,width,height,TotalAbundance,ImmigrationRate,ResourceConcentration,ResourceParticles,Speciation,AvgPerCapitaGrowth,AvgPerCapitaMaint,AvgPerCapitaActiveDispersal,SpecGrowth,SpecDisp,SpecMaint,AvgDist,DormFreq,TrophicComplexityLevel,ResourceComplexityLevel,SpatialComplexityLevel,AvgEncounter,Aggregation
1, 0.63636363636363635, 15, 124, 0.1, 0.02, 0.2, 0.99, 100, 19.8, 20, 268, 0.1, 0.22454545454545458, 89.818181818181813, 0.01, 0.078509191066265333, 0.0031102094665171015, 0.062719696712714809, 0.055721075094957849, 0.093241390931906934, 0.011537255525511148, 3.9251975712057017, 0.33444975264512, 1, 1, 2, 116.54545454545455, 0.2606780388248926
2, -1.1818181818181819, 5, 75, 0.1, 0.02, 0.2, 0.99, 100, 19.8, 20, 145, 0.1, 0.045454545454545449, 18.181818181818183, 0.01, 0.079568901569100334, 0.0021565510379170441, 0.1044824844701774, 0.056678736197575304, 0.10493840787953647, 0.0099146999432300608, 3.0095635710612019, 0.58355892402599963, 1, 1, 3, 36.636363636363633, 0.8251268944618441
3, -1.9090909090909092, 3, 140, 0.1, 0.02, 0.2, 0.99, 100, 19.8, 20, 24, 0.1, 0.15613636363636363, 62.454545454545453, 0.01, 0.052301318218093633, 0.0019853278962686386, 0.097490341587529047, 0.056996702862085358, 0.10805890742949509, 0.010730434661301606, 5.8278209102889775, 0.89289784828487972, 1, 3, 2, 2.0, 0.6692468760644011
4, 5.9090909090909092, 18, 122, 0.1, 0.02, 0.2, 0.99, 100, 19.8, 20, 345, 0.1, 0.26681818181818184, 106.72727272727273, 0.01, 0.077286343122719925, 0.0035657148704611925, 0.10241894772775426, 0.058172307045391475, 0.10188536794859247, 0.011701420567090337, 5.433485737493883, 0.47160090504350216, 1, 2, 3, 153.09090909090909, 0.6447874848596168
5, -1.0, 4, 126, 0.1, 0.02, 0.2, 0.99, 100, 19.8, 20, 48, 0.1, 0.038181818181818178, 15.272727272727273, 0.01, 0.062481861491284936, 0.0017669750142608562, 0.13816037119659111, 0.054386012010682785, 0.11361782681556849, 0.010141550679716354, 3.2212533483337258, 0.7094472411294177, 1, 1, 2, 14.454545454545455, 0.48902515801197705
6, 1.4545454545454546, 5, 62, 0.1, 0.02, 0.2, 0.99, 100, 19.8, 20, 114, 0.1, 0.10386363636363635, 41.545454545454547, 0.01, 0.066357804198681591, 0.0028423667386468007, 0.066344171328361096, 0.058664355330442015, 0.10526240566834498, 0.01223395770620626, 4.3497316567881379, 0.24814547409246934, 1, 2, 2, 52.81818181818182, 0.5933048809645044
7, -1.7272727272727273, 12, 15, 0.1, 0.02, 0.2, 0.99, 100, 19.8, 20, 141, 0.1, 0.14795454545454545, 59.18181818181818, 0.01, 0.079104574812723691, 0.0021959737858898072, 0.11384470476085305, 0.058389748718904434, 0.1045854243502609, 0.012141130780848936, 5.0467389167774668, 0.50239468086007344, 1, 2, 3, 19.09090909090909, 0.11591845946837286
8, -1.4545454545454546, 13, 47, 0.1, 0.02, 0.2, 0.99, 100, 19.8, 20, 30, 0.1, 0.8224999999999999, 329.0, 0.01, 0.06012761600299843, 0.0012681526729376111, 0.15655438676042635, 0.054199575889588326, 0.11935024256319164, 0.0089964472749008966, 2.7559234600298068, 0.81542560416561838, 2, 3, 1, 2.4545454545454546, 0.6561017475207039
9, -0.27272727272727271, 5, 163, 0.1, 0.02, 0.2, 0.99, 100, 19.8, 20, 13, 0.1, 0.31818181818181823, 127.27272727272727, 0.01, 0.049480036869900441, 0.0028427122955838003, 0.083210082995467213, 0.059362522243556842, 0.097726869087490273, 0.011059025375200633, 4.8954222579708464, 0.56896436896436908, 2, 3, 2, 1.8181818181818181, 0.6916092771799918
10, -2.8181818181818183, 1, 34, 0.1, 0.02, 0.2, 0.99, 100, 19.8, 20, 27, 0.1, 0.0045454545454545452, 1.8181818181818181, 0.01, 0.078897355732901062, 0.0010426962912563355, 0.097172111172776895, 0.055910630239970539, 0.11428768268085383, 0.012896369235265281, 8.0748653442465876, 0.91583705766179735, 1, 2, 3, 1.5454545454545454, 0.16239713956576787
