RowID,MeanIndProduction,VarIndProduction,ResInflow,MaxGrowthRate,MaxMetMaint,MaxActiveDispersal,LogseriesA,StartingSeed,width,height,MeanTotalAbundance,VarTotalAbundance,ImmigrationRate,MeanResourceConcentration,VarResourceConcentration,MeanResourceParticles,VarResourceParticles,Speciation,MeanPerCapitaGrowth,VarPerCapitaGrowth,MeanPerCapitaMaint,VarPerCapitaMaint,MeanPerCapitaActiveDispersal,VarPerCapitaActiveDispersal,MeanSpecGrowth,VarSpecGrowth,MeanSpecDisp,VarSpecDisp,MeanSpecMaint,VarSpecMaint,MeanAvgDist,VarAvgDist,MeanDormFreq,VarDormFreq,TrophicComplexityLevel,ResourceComplexityLevel,SpatialComplexityLevel,MeanEncounter,VarEncounter,Aggregation
1, -7.5490196078431371, 19.149557862360631, 88, 0.2, 0.002, 0.0015076058149729422, 0.99, 100, 19.8, 20, 186.21568627450981, 13219.620146097657, 0.1, 3.4578921568627448, 0.40360523836985779, 1383.1568627450981, 64576.838139177256, 0.01, 0.20001462008183737, 9.4588597009149875e-11, 0.00063223783895351518, 9.6280584138078388e-09, 0.0015076179554310998, 4.0785627162549247e-15, 0.19999999999999998, 3.0814879110195774e-33, 0.001507605814972943, 4.70197740328915e-38, 0.0020000000000000005, 0.0, 2.7793266793057438, 0.35071802026059173, 0.78648228739798265, 0.0034816193113953943, 3, 2, 1, 1.196078431372549, 1.490965013456363, 0.7100433140397713
2, -4.3921568627450984, 10.5520953479431, 36, 0.2, 0.002, 0.00138541156663193, 0.99, 100, 19.8, 20, 94.019607843137251, 4317.666282199154, 0.1, 2.3322549019607841, 0.09880177816224528, 932.9019607843137, 15808.284505959246, 0.01, 0.19999075335415861, 2.7255764926540371e-10, 0.00057224618498809222, 1.072546023235893e-08, 0.0013854502014580168, 2.3366453288243167e-15, 0.19999999999999987, 3.0814879110195774e-33, 0.00138541156663193, 4.70197740328915e-38, 0.002, 0.0, 8.0793980207701619, 1.4785584695372174, 0.81841401671656688, 0.0028061159645032586, 3, 3, 3, 0.039215686274509803, 0.037677816224529023, 0.7261054091297937
3, -0.88235294117647056, 3.2018454440599768, 32, 0.2, 0.002, 0.0012271073620175289, 0.99, 100, 19.8, 20, 13.803921568627452, 126.82429834678972, 0.1, 0.95367647058823535, 0.015334400230680507, 381.47058823529414, 2453.5040369088811, 0.01, 0.20002477338747401, 1.5169294917643438e-09, 0.0012909224505361374, 3.2941771315246245e-07, 0.0012275061373231227, 5.5663085011836359e-14, 0.19999999999999996, 3.0814879110195774e-33, 0.0012271073620175289, 0.0, 0.002, 0.0, 3.0301475080937403, 0.59693701450381942, 0.41847490931441156, 0.11366721381740874, 1, 3, 1, 0.058823529411764705, 0.055363321799307953, 0.11633085266184405
4, -6.2352941176470589, 16.572087658592849, 16, 0.2, 0.002, 0.0017964973332360269, 0.99, 100, 19.8, 20, 147.70588235294119, 9642.4036908881208, 0.1, 0.43544117647058822, 0.0037955161476355245, 174.1764705882353, 607.2825836216839, 0.01, 0.20002630291676368, 2.3857654685816915e-10, 0.00049271127168424406, 9.1504873956686978e-09, 0.0017964208621869737, 3.6166889257000677e-15, 0.19999999999999998, 3.0814879110195774e-33, 0.0017964973332360271, 4.70197740328915e-38, 0.002, 0.0, 2.870486786319733, 0.37242139736258051, 0.85269118458134374, 0.0030884965277281373, 1, 3, 1, 0.0, 0.0, 0.02509315697674847
5, -9.0588235294117645, 41.349480968858131, 61, 0.2, 0.002, 0.004827644650905626, 0.99, 100, 19.8, 20, 227.15686274509804, 16810.132256824301, 0.1, 1.1553431372549019, 0.051964955786236063, 462.13725490196077, 8314.3929257977707, 0.01, 0.19999734561769045, 9.5510072875382577e-11, 0.00080743527945408651, 1.4027436281150743e-08, 0.0048270642575240184, 1.1521680731908032e-14, 0.19999999999999998, 3.0814879110195774e-33, 0.0048276446509056261, 0.0, 0.0020000000000000005, 0.0, 2.6479419449018531, 0.23634631643696333, 0.69597861613678647, 0.0047806096973772956, 1, 1, 1, 8.3725490196078436, 32.155324875048052, 0.3291461173397839
6, -4.5686274509803919, 19.970780469050368, 37, 0.2, 0.002, 0.004315594434308211, 0.99, 100, 19.8, 20, 101.45098039215686, 4224.3260284505968, 0.1, 2.708627450980392, 0.13105693963860054, 1083.4509803921569, 20969.110342176082, 0.01, 0.19998663694347316, 6.5553018942670813e-11, 0.00098276959411920141, 6.0117255158211388e-08, 0.0043152669825749623, 2.7267320374616179e-14, 0.19999999999999996, 3.0814879110195774e-33, 0.0043155944343082099, 7.5231638452626401e-37, 0.002, 0.0, 2.8392214721092928, 0.2007468051778552, 0.60270676525546985, 0.019246602726703838, 3, 2, 3, 0.68627450980392157, 0.88196847366397524, 0.5810859983771108
7, -2.9803921568627452, 10.842752787389466, 63, 0.2, 0.002, 0.007584386148257863, 0.99, 100, 19.8, 20, 182.74509803921569, 2164.8565936178397, 0.1, 1.8901960784313727, 0.061794324298346776, 756.07843137254906, 9887.091887735487, 0.01, 0.20001932165831432, 2.5711997753759868e-11, 0.0014384797507402602, 4.086047867261101e-09, 0.0075842296959204867, 9.6208901012553166e-14, 0.19999999999999998, 2.9908559136366486e-33, 0.0075843861482578602, 4.4253904972133178e-37, 0.002, 1.401373657450884e-37, 5.4924983778038383, 1.9809253178113422, 0.35433413599159974, 0.0017624853562218596, 1, 1, 2, 11.294117647058824, 20.79584775086505, 0.4359039645541269
8, -12.078431372549019, 59.170319108035379, 41, 0.2, 0.002, 0.008793123590993086, 0.99, 100, 19.8, 20, 262.60784313725492, 33399.610918877348, 0.1, 3.1042647058823527, 0.40008855247981534, 1241.7058823529412, 64014.168396770459, 0.01, 0.199972872588982, 2.3960841352123504e-10, 0.00063472229356427272, 2.8766694597027143e-08, 0.0087934137013384751, 2.1011498358123475e-13, 0.19999999999999996, 4.894127858678152e-33, 0.0087931235909930894, 6.3725623159871775e-36, 0.0020000000000000005, 9.9571286187299649e-38, 2.8337019538036583, 0.32750697985947008, 0.78438097312956778, 0.0093166313197775852, 3, 1, 1, 1.4705882352941178, 2.7197231833910029, 0.7575477171081524
9, -5.2941176470588234, 25.854671280276818, 77, 0.2, 0.002, 0.007347006732380104, 0.99, 100, 19.8, 20, 110.21568627450981, 6083.7377931564788, 0.1, 2.1212745098039218, 0.1005206795463283, 848.50980392156862, 16083.308727412532, 0.01, 0.19999624887300335, 8.6668376684959872e-11, 0.00084480345047905324, 3.6060920727571135e-08, 0.0073474292166310099, 1.6337522787361773e-13, 0.19999999999999987, 6.4348718141879414e-33, 0.0073470067323801024, 1.4751301657377725e-36, 0.0020000000000000005, 9.2195635358610781e-38, 7.5392882947856661, 5.087683858803671, 0.67934743683054466, 0.013518265711043401, 2, 2, 2, 1.3137254901960784, 2.5682429834678979, 0.03719162567406557
10, -6.9215686274509807, 31.091887735486353, 38, 0.2, 0.002, 0.001365706823158941, 0.99, 100, 19.8, 20, 142.56862745098039, 9306.0492118415987, 0.1, 2.7063235294117645, 0.17512606689734714, 1082.5294117647059, 28020.17070357555, 0.01, 0.19998617100917956, 3.0969946009510075e-10, 0.00095609220606951754, 1.0741498847503893e-08, 0.0013656940898799622, 2.3621545338700923e-14, 0.19999999999999987, 3.0814879110195774e-33, 0.0013657068231589405, 4.70197740328915e-38, 0.002, 0.0, 3.191200818813424, 0.443820599884931, 0.6165612027034113, 0.003410972852946064, 3, 1, 2, 1.7843137254901962, 2.9534794309880827, 0.2540749718316235
