RowID,MeanIndProduction,VarIndProduction,ResInflow,MaxGrowthRate,MaxMetMaint,MaxActiveDispersal,StartingSeed,width,height,MeanTotalAbundance,VarTotalAbundance,ImmigrationRate,MeanResourceConcentration,VarResourceConcentration,MeanResourceParticles,VarResourceParticles,MeanPerCapitaGrowth,VarPerCapitaGrowth,MeanPerCapitaMaint,VarPerCapitaMaint,MeanPerCapitaActiveDispersal,VarPerCapitaActiveDispersal,MeanSpecGrowth,VarSpecGrowth,MeanSpecDisp,VarSpecDisp,MeanSpecMaint,VarSpecMaint,MeanAvgDist,VarAvgDist,MeanDormFreq,VarDormFreq,TrophicComplexityLevel,ResourceComplexityLevel,SpatialComplexityLevel,MeanEncounter,VarEncounter,IncomingResAgg,MeanIndAgg,VarIndAgg,MeanResAgg,VarResAgg,MeanDeaths,VarDeaths,RunTime
1, -1.3500000000000001, 2.7274999999999996, 10, 0.1, 0.01, 0.03384286115020504, 10, 9.8, 10, 25.449999999999999, 10.547500000000001, 0, 8.0625, 0.74211874999999994, 806.25, 7421.1875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.048857968759500256, 8.5617964170649949e-07, 0.018356763561278102, 9.0234421355485925e-09, 0.72741410234286408, 0.40793516731007645, nan, nan, 0.010543766578249337, 0.00049787077232654839, 3, 3, 2, 0.75, 0.78749999999999998, 0.059744013979838057, 2.8482287227138485, 0.32978635084020386, nan, nan, 2.3500000000000001, 2.0275000000000003, 69
2, -0.84999999999999998, 2.7275, 1, 0.1, 0.01, 0.03102294853478272, 10, 9.8, 10, 25.050000000000001, 3.0474999999999994, 0, 5.9500000000000002, 0.33250000000000002, 595.0, 3325.0, 0.0014409308160568718, 9.0633062943283759e-07, 0.00018259853679909339, 1.4554422728373013e-08, 0.00010644892253305657, 4.9463283011809679e-09, 0.057068267214270038, 3.829659132654508e-07, 0.017628140756103854, 4.3976549722849535e-08, 0.0058980386148234669, 2.7917584875503584e-09, nan, nan, 0.0, 0.0, 1, 1, 1, 8.5999999999999996, 7.5400000000000009, 0.0597135910989472, 1.5315441679759523, 0.56519132044212694, nan, nan, 2.25, 1.7875000000000001, 69
3, -1.3999999999999999, 2.8399999999999994, 5, 0.1, 0.01, 0.06799614457193735, 10, 9.8, 10, 23.75, 14.7875, 0, 10.025, 0.72720500000000021, 1002.5, 7272.0500000000002, 0.0022700358310191568, 4.3620764112070049e-06, 0.00016774583978790641, 2.3819429784951478e-08, 0.00010944780711777875, 1.0140093822101444e-08, 0.049526725578510053, 3.0444552674105936e-07, 0.018837028687640887, 6.9909625248137956e-08, 0.0051219635788678254, 6.8758852656570736e-09, nan, nan, 0.0, 0.0, 4, 3, 2, 0.90000000000000002, 0.89000000000000001, 0.28218401748388244, 3.6520342240357229, 0.32078983669254352, nan, nan, 1.95, 2.4475000000000007, 77
4, -1.1499999999999999, 2.7275, 9, 0.1, 0.01, 0.05308680294422228, 10, 9.8, 10, 31.699999999999999, 12.91, 0, 43.526499999999999, 1.2759827499999987, 4352.6499999999996, 12759.827499999999, 0.00083967748817748351, 1.6480919562615606e-06, 2.0670870071054585e-05, 9.9878942248434135e-10, 0.00022268598360200963, 1.1591567931184535e-07, 0.062683011285819809, 1.9294624252336793e-10, 0.020966724141896303, 2.4734976892126647e-09, 0.007265074826860481, 4.368578406138415e-10, nan, nan, 0.0, 0.0, 2, 2, 3, 17.25, 7.3875000000000002, 0.3761296809667432, 4.1376432264674099, 0.78849319418377084, nan, nan, 2.2999999999999998, 2.0099999999999998, 202
5, -0.90000000000000002, 2.6900000000000004, 8, 0.1, 0.01, 0.07170527419344722, 10, 9.8, 10, 26.949999999999999, 3.8475000000000001, 0, 27.988499999999998, 0.46420274999999966, 2798.8499999999999, 4642.0275000000011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05488944565926028, 7.7539678496671931e-08, 0.016860705465562426, 6.67027241220083e-09, 0.0052532635096201848, 7.8498629917220071e-10, nan, nan, 0.0, 0.0, 3, 2, 3, 9.9000000000000004, 5.5899999999999999, 0.22229468979375627, 2.7122150768327677, 0.55589171514309599, nan, nan, 2.0, 1.5, 232
6, -1.25, 3.1875, 4, 0.1, 0.01, 0.0681829207139537, 10, 9.8, 10, 17.75, 6.8875000000000002, 0, 9.4019999999999992, 0.7871959999999999, 940.20000000000005, 7871.9600000000009, 0.0036691455427471055, 5.9132525831971082e-06, 0.00036053510611601896, 5.7094157751179836e-08, 0.00030106627960324887, 3.9812622288884298e-08, 0.057214293881777886, 7.0765725979179357e-07, 0.019169131436210872, 5.8784453936114794e-08, 0.0053500502291030641, 3.1209143258020346e-09, nan, nan, 0.0, 0.0, 4, 3, 3, 1.1499999999999999, 0.82750000000000001, 0.21299930574728113, 3.7441102069585042, 2.807138057677701, nan, nan, 1.8999999999999999, 2.3900000000000006, 69
7, -0.94999999999999996, 2.9475000000000002, 8, 0.1, 0.01, 0.016483381779820346, 10, 9.8, 10, 24.300000000000001, 2.9100000000000006, 0, 9.4320000000000022, 0.70661600000000013, 943.20000000000005, 7066.1600000000008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052040973096654855, 2.0094822724156002e-07, 0.017028211825121313, 5.3167610017929456e-08, 0.0048622638815046916, 2.7805194519386955e-09, nan, nan, 0.0, 0.0, 3, 3, 3, 0.94999999999999996, 1.2475000000000001, 0.1619302587480973, 3.9077293881641708, 1.2020890086084794, nan, nan, 2.1000000000000001, 2.1899999999999999, 69
8, -1.1499999999999999, 2.9275000000000002, 10, 0.1, 0.01, 0.03291465221613615, 10, 9.8, 10, 17.75, 3.3875000000000002, 0, 10.415000000000001, 0.62986500000000001, 1041.5, 6298.6499999999996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.056423917425703608, 8.6684127384048455e-07, 0.017970901680880565, 2.2598274439321102e-08, 0.010128831321682037, 3.585990721139407e-06, nan, nan, 0.0025000000000000001, 0.00011875000000000004, 3, 3, 3, 0.84999999999999998, 0.52749999999999997, 0.20747110480927078, 2.6157649969569476, 1.4287240505095109, nan, nan, 1.8, 2.1600000000000001, 84
9, -1.45, 3.4475000000000007, 6, 0.1, 0.01, 0.08961702851012299, 10, 9.8, 10, 20.399999999999999, 14.34, 0, 9.9194999999999993, 0.61723474999999994, 991.95000000000005, 6172.3475000000008, 0.0029359701105531222, 9.6388358583846734e-06, 0.00030818856967088169, 1.0620730265494876e-07, 0.00051249932197229217, 2.9370268380892518e-07, 0.05485048018853491, 3.6433558874097032e-07, 0.018196498243030018, 2.147333117090856e-08, 0.0060150066877749627, 2.4939121166809717e-07, nan, nan, 0.0052777777777777779, 0.00025146604938271612, 1, 3, 2, 0.0, 0.0, 0.36386276094613595, 2.9018952352543677, 0.87106878150231193, nan, nan, 2.5, 2.5499999999999998, 89
10, -0.34999999999999998, 5.0274999999999999, 2, 0.1, 0.01, 0.044370098982252366, 10, 9.8, 10, 41.200000000000003, 13.959999999999999, 0, 11.65, 0.33250000000000002, 1165.0, 3325.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05778244263094888, 5.6934800880530032e-08, 0.018840370741691714, 3.940978512574282e-09, 0.0056684862211480395, 7.9328770736777025e-10, nan, nan, 0.0, 0.0, 1, 2, 1, 16.600000000000001, 9.2400000000000002, 0.09073298527494894, 1.3535054158235895, 0.23366201881241094, nan, nan, 2.0499999999999998, 1.7475000000000001, 126
