RowID,MeanIndProduction,VarIndProduction,ResInflow,MaxGrowthRate,MaxMetMaint,MaxActiveDispersal,LogseriesA,StartingSeed,width,height,MeanTotalAbundance,VarTotalAbundance,ImmigrationRate,MeanResourceConcentration,VarResourceConcentration,MeanResourceParticles,VarResourceParticles,Speciation,MeanPerCapitaGrowth,VarPerCapitaGrowth,MeanPerCapitaMaint,VarPerCapitaMaint,MeanPerCapitaActiveDispersal,VarPerCapitaActiveDispersal,MeanSpecGrowth,VarSpecGrowth,MeanSpecDisp,VarSpecDisp,MeanSpecMaint,VarSpecMaint,MeanAvgDist,VarAvgDist,MeanDormFreq,VarDormFreq,TrophicComplexityLevel,ResourceComplexityLevel,SpatialComplexityLevel,MeanEncounter,VarEncounter,IncomingResAgg,MeanIndAgg,VarIndAgg,MeanResAgg,VarResAgg,MeanDeaths,VarDeaths,RunTime
1, 0.0, 0.0, 1, 0.1, 0.01, 0.1, 0.99, 10, 9.8, 10, 10.0, 0.0, 0.0, 0.19050000000000003, 9.4750000000000135e-05, 19.050000000000001, 0.94750000000000001, 0.0, 0.10003677247744532, 0.0, 0.00022141100414329733, 5.6752942479191633e-10, 0.10006831507337702, 0.0, 0.10000000000000002, 1.9259299443872359e-34, 0.10000000000000002, 1.9259299443872359e-34, 0.01, 3.009265538105056e-36, 1.4643681197083542, 0.099740561780884904, 0.88500000000000012, 0.0092749999999999951, 3, 2, 3, 0.65000000000000002, 1.4274999999999998, 0.4, 1.3333333333333335, 1.1851851851851856, 1.7592510688485921, 0.033096743123950986, 0.0, 0.0, 169
2, 2.806451612903226, 4.672216441207075, 90, 0.1, 0.01, 0.1, 0.99, 10, 9.8, 10, 751.0, 225.40000000000001, 0.0, 68.352258064516121, 9.965269094693026, 6835.2258064516127, 99652.690946930263, 0.0, 0.099999495428615401, 2.1551470314755581e-13, 4.4792654618814702e-05, 3.0463984083995466e-10, 0.099996971676401356, 2.4822940430077575e-13, 0.10000000000000003, 7.7037197775489434e-34, 0.10000000000000003, 7.7037197775489434e-34, 0.01, 3.009265538105056e-36, 5.7910362873631218, 0.14686105097282523, 0.075899081346715622, 7.6111107614518944e-05, 2, 2, 3, 46.806451612903224, 42.672216441207077, 0.4, 4.5505745059483127, 0.040467334349464618, 2.4273647548197115, 8.1561588282051952e-05, 6.096774193548387, 7.6357960457856393, 219
3, 9.0500000000000007, 10.3475, 70, 0.1, 0.01, 0.1, 0.99, 10, 9.8, 10, 932.85000000000002, 2766.5275000000001, 0.0, 21.274999999999999, 0.77852500000000024, 2127.5, 7785.25, 0.0, 0.10000171684846189, 5.2251361295963719e-13, 8.1750332498974082e-05, 6.2934479515268004e-10, 0.099995643937828949, 2.1565177602295469e-13, 0.10000000000000002, 1.9259299443872359e-34, 0.10000000000000002, 1.9259299443872359e-34, 0.01, 3.009265538105056e-36, 1.6901231021569825, 0.095635856913943301, 0.07759027970402009, 1.5989285505974838e-05, 3, 2, 1, 125.8, 96.460000000000008, 0.4, 1.3620338245967072, 0.0046676358519633591, 1.348447132849067, 0.0030853359543509518, 7.9500000000000002, 4.6475, 219
4, 0.14999999999999999, 0.32749999999999996, 4, 0.1, 0.01, 0.1, 0.99, 10, 9.8, 10, 92.75, 1.2875000000000001, 0.0, 9.0380000000000003, 0.12123599999999976, 903.79999999999995, 1212.3599999999999, 0.0, 0.099996440420020399, 5.669839345398303e-13, 4.8125139486362169e-05, 1.7502739636155459e-09, 0.099979551080030926, 5.3022901325219555e-13, 0.10000000000000002, 1.9259299443872359e-34, 0.10000000000000002, 1.9259299443872359e-34, 0.01, 3.009265538105056e-36, 1.6655927921070031, 0.082514796156026554, 0.097658030772903498, 0.00012711160351490546, 2, 1, 1, 5.7999999999999998, 6.4599999999999991, 0.4, 1.3177634271603416, 0.095888565722533362, 1.285453809837507, 0.0072176408650696964, 0.65000000000000002, 0.42750000000000005, 219
5, 2.3500000000000001, 4.0275000000000007, 40, 0.1, 0.01, 0.1, 0.99, 10, 9.8, 10, 322.85000000000002, 161.82749999999999, 0.0, 47.570999999999998, 5.2486290000000002, 4757.1000000000004, 52486.289999999994, 0.0, 0.10000254490568294, 9.6216569594833776e-13, 6.8943247179548741e-05, 1.165402820367204e-09, 0.10000081674880276, 1.9190276845782476e-13, 0.10000000000000002, 1.9259299443872359e-34, 0.10000000000000002, 1.9259299443872359e-34, 0.01, 3.009265538105056e-36, 2.1274884689461837, 0.099437186508186587, 0.080963197598581477, 6.7452733722461847e-05, 4, 1, 2, 33.100000000000001, 26.390000000000004, 0.4, 2.4243980355025423, 0.0043197203626765086, 2.3203227523171011, 0.0023285985261890059, 2.6000000000000001, 1.3400000000000003, 219
6, 0.0, 0.10000000000000001, 1, 0.1, 0.01, 0.1, 0.99, 10, 9.8, 10, 29.399999999999999, 0.24000000000000005, 0.0, 1.036, 0.001784000000000003, 103.59999999999999, 17.840000000000003, 0.0, 0.099987812775231069, 5.5145553556344087e-14, 1.4138649952913647e-05, 1.5237719560390546e-11, 0.099982787962001288, 2.4019460953444446e-12, 0.10000000000000002, 1.9259299443872359e-34, 0.10000000000000002, 1.9259299443872359e-34, 0.01, 3.009265538105056e-36, 1.6991679553034036, 0.1779077369637343, 0.047356321839080458, 0.00024859294490685692, 2, 3, 1, 0.20000000000000001, 0.26000000000000001, 0.4, 1.3891625615763545, 0.50154631809124761, 1.3799738337471441, 0.1785663294287273, 0.25, 0.28749999999999998, 195
7, 0.050000000000000003, 0.047499999999999987, 14, 0.1, 0.01, 0.1, 0.99, 10, 9.8, 10, 34.549999999999997, 0.24749999999999997, 0.0, 6.2035, 0.044522749999999986, 620.35000000000002, 445.22749999999996, 0.0, 0.099983548294181504, 2.6487752718991156e-12, 6.3874088400749911e-06, 1.236214871226907e-11, 0.099997909451330275, 2.0608003701205634e-12, 0.10000000000000002, 1.9259299443872359e-34, 0.10000000000000002, 1.9259299443872359e-34, 0.01, 3.009265538105056e-36, 1.6150517953260057, 0.044787119548190042, 0.015714285714285715, 0.00020204081632653058, 1, 3, 3, 0.29999999999999999, 0.20999999999999996, 0.4, 2.3850267379679146, 0.5070408652846975, 2.0258213700407981, 0.0014946580174645227, 0.0, 0.0, 219
8, 0.029411764705882353, 0.96972318339100316, 4, 0.1, 0.01, 0.1, 0.99, 10, 9.8, 10, 63.700000000000003, 2.2099999999999995, 0.0, 0.63205882352941178, 0.0013222318339100347, 63.205882352941174, 13.222318339100344, 0.0, 0.10001026869972104, 7.4257625166725509e-12, 0.00011081055458307332, 4.9475284443206326e-09, 0.099975825919554895, 1.0770848729391785e-11, 0.10000000000000001, 0.0, 0.10000000000000001, 0.0, 0.01, 0.0, 1.9820004389153789, 0.077405462718002194, 0.32562307175310534, 0.00030737476684210437, 1, 1, 2, 2.6176470588235294, 4.5302768166089962, 0.4, 4.8599637777671498, 0.26409773608198328, 1.9378999968164077, 0.0078630319363591217, 0.6470588235294118, 0.64013840830449842, 219
9, 2.5, 7.5499999999999998, 20, 0.1, 0.01, 0.1, 0.99, 10, 9.8, 10, 530.85000000000002, 173.72749999999996, 0.0, 3.6144999999999996, 0.01030475, 361.44999999999999, 103.04750000000001, 0.0, 0.099991657346313129, 2.6599405598966871e-13, 0.00010449927829296326, 1.0130024061973222e-09, 0.099998368156750603, 2.938673924609879e-13, 0.10000000000000002, 1.9259299443872359e-34, 0.10000000000000002, 1.9259299443872359e-34, 0.010000000000000002, 3.009265538105056e-36, 2.0614356795615127, 0.098561826358462362, 0.16114903901467312, 0.00018224091948690222, 1, 2, 3, 37.200000000000003, 35.260000000000005, 0.4, 1.8693663031933592, 0.0024272031756769306, 1.2622767326816682, 5.9623919568220325e-05, 5.5499999999999998, 4.9474999999999998, 219
10, 0.10000000000000001, 0.090000000000000011, 10, 0.1, 0.01, 0.1, 0.99, 10, 9.8, 10, 30.050000000000001, 0.2475, 0.0, 2.8810000000000002, 0.015488999999999989, 288.10000000000002, 154.88999999999996, 0.0, 0.10004535351486928, 1.6950942200948454e-12, 4.9354999479938512e-06, 1.3839578549696851e-11, 0.10002499225894404, 5.3468679322700151e-13, 0.10000000000000002, 1.9259299443872359e-34, 0.10000000000000002, 1.9259299443872359e-34, 0.01, 3.009265538105056e-36, 1.7371174869017394, 0.20446294474588797, 0.0098387096774193543, 0.00022595386749913281, 2, 3, 1, 0.0, 0.0, 0.4, 1.1100693892684992, 0.36059643747105508, 1.3114913007913187, 0.017461513679581354, 0.20000000000000001, 0.16000000000000006, 132
